SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,1,1,Alabama,Autauga County,2016,55243,26970,28273,20979,21700,5040,5562,119,139,287,359,29,22,516,491,21455,22145,5305,5821,279,305,424,484,48,54,26187,27558,20351,21120,4962,5499,102,129,284,350,17,17,471,443,20787,21527,5203,5732,240,267,414,465,34,39,783,715,628,580,78,63,17,10,3,9,12,5,45,48,668,618,102,89,39,38,10,19,14,15
50,1,3,Alabama,Baldwin County,2016,207601,100969,106632,88303,92833,9228,9865,826,760,826,1290,62,59,1724,1825,89933,94540,9914,10645,1658,1623,1179,1688,138,149,96085,102225,83936,88852,9058,9690,710,693,812,1278,40,49,1529,1663,85388,90421,9661,10395,1430,1458,1136,1637,98,116,4884,4407,4367,3981,170,175,116,67,14,12,22,10,195,162,4545,4119,253,250,228,165,43,51,40,33
50,1,5,Alabama,Barbour County,2016,25806,13626,12180,6779,6071,6515,5858,91,60,54,58,28,13,159,120,6897,6176,6622,5929,168,107,69,78,33,18,13004,11689,6272,5665,6473,5811,40,33,54,58,16,6,149,116,6383,5766,6573,5881,111,78,69,77,21,11,622,491,507,406,42,47,51,27,0,0,12,7,10,4,514,410,49,48,57,29,0,1,12,7
50,1,7,Alabama,Bibb County,2016,22586,12070,10516,8839,8484,3037,1853,43,41,19,24,23,4,109,110,8941,8579,3086,1907,92,92,38,46,25,10,11752,10276,8571,8274,3015,1841,40,31,18,24,6,1,102,105,8667,8365,3062,1891,85,78,36,44,7,6,318,240,268,210,22,12,3,10,1,0,17,3,7,5,274,214,24,16,7,14,2,2,18,4
50,1,9,Alabama,Blount County,2016,57494,28287,29207,27180,28054,480,427,172,173,71,87,39,24,345,442,27505,28468,601,584,359,421,130,153,49,44,25517,26769,24568,25767,426,386,128,136,59,79,14,7,322,394,24873,26139,531,522,310,356,111,136,21,23,2770,2438,2612,2287,54,41,44,37,12,8,25,17,23,48,2632,2329,70,62,49,65,19,17,28,21
50,1,11,Alabama,Bullock County,2016,10389,5653,4736,1671,1074,3818,3514,39,50,11,14,40,35,74,49,1742,1116,3860,3539,65,75,23,21,45,39,5245,4370,1426,833,3747,3472,9,20,10,10,3,2,50,33,1474,863,3776,3488,26,36,17,14,5,3,408,366,245,241,71,42,30,30,1,4,37,33,24,16,268,253,84,51,39,39,6,7,40,36
50,1,13,Alabama,Butler County,2016,20012,9310,10702,5012,5542,4010,4887,34,40,153,120,5,5,96,108,5102,5638,4062,4943,71,88,166,134,7,8,9173,10574,4930,5454,3970,4858,33,37,147,117,4,5,89,103,5013,5546,4017,4911,68,81,160,131,6,8,137,128,82,88,40,29,1,3,6,3,1,0,7,5,89,92,45,32,3,7,6,3,1,0
50,1,15,Alabama,Calhoun County,2016,114973,55284,59689,42192,44648,11194,12936,307,283,446,674,62,55,1083,1093,43183,45637,11770,13526,689,687,685,904,135,126,53044,57686,40355,42993,11001,12779,241,219,425,653,51,46,971,996,41250,43903,11520,13314,577,580,642,860,110,101,2240,2003,1837,1655,193,157,66,64,21,21,11,9,112,97,1933,1734,250,212,112,107,43,44,25,25
50,1,17,Alabama,Chambers County,2016,33745,16183,17562,9398,9976,6280,7150,52,52,253,165,12,6,188,213,9570,10177,6384,7282,125,123,281,187,18,11,15754,17232,9111,9728,6193,7101,35,43,239,161,6,5,170,194,9266,9911,6286,7220,102,110,264,180,12,9,429,330,287,248,87,49,17,9,14,4,6,1,18,19,304,266,98,62,23,13,17,7,6,2
50,1,19,Alabama,Cherokee County,2016,25768,12790,12978,11896,12083,558,546,89,75,30,53,5,3,212,218,12094,12288,639,635,210,200,56,70,7,8,12587,12787,11719,11917,556,543,80,67,29,48,1,0,202,212,11908,12117,631,628,197,189,54,64,3,4,203,191,177,166,2,3,9,8,1,5,4,3,10,6,186,171,8,7,13,11,2,6,4,4
50,1,21,Alabama,Chilton County,2016,43866,21537,22329,18827,19448,2166,2352,113,109,84,118,48,28,299,274,19102,19699,2344,2503,220,218,128,151,62,42,19636,20841,17154,18132,2071,2282,72,68,73,107,8,6,258,246,17396,18359,2224,2420,163,165,108,135,15,17,1901,1488,1673,1316,95,70,41,41,11,11,40,22,41,28,1706,1340,120,83,57,53,20,16,47,25
50,1,23,Alabama,Choctaw County,2016,13045,6204,6841,3650,3828,2490,2945,15,12,7,11,0,1,42,44,3689,3870,2514,2967,30,29,13,17,3,2,6146,6770,3604,3776,2481,2931,13,11,7,9,0,0,41,43,3642,3817,2504,2953,28,27,13,15,3,1,58,71,46,52,9,14,2,1,0,2,0,1,1,1,47,53,10,14,2,2,0,2,0,1
