state,county,votes_total,votes_dem,votes_gop
Alabama,autauga county,27560,7450,19764
Alabama,baldwin county,108620,24344,83055
Alabama,barbour county,10445,4772,5605
Alabama,bibb county,9563,1982,7508
Alabama,blount county,27431,2627,24595
Alabama,bullock county,4601,3439,1143
Alabama,butler county,9460,3953,5448
Alabama,calhoun county,50630,15118,34964
Alabama,chambers county,15244,6356,8748
Alabama,cherokee county,12263,1619,10562
Alabama,chilton county,19231,3056,16052
Alabama,choctaw county,7458,3126,4294
Alabama,clarke county,13088,5730,7310
Alabama,clay county,6904,1262,5589
Alabama,cleburne county,7202,672,6472
Alabama,coffee county,22144,5050,16832
Alabama,colbert county,24607,7057,17311
Alabama,conecuh county,6418,2951,3435
Alabama,coosa county,5466,1794,3626
Alabama,covington county,17393,2717,14579
Alabama,crenshaw county,6608,1700,4864
Alabama,cullman county,41724,4475,36831
Alabama,dale county,19667,5154,14281
Alabama,dallas county,17841,12228,5523
Alabama,dekalb county,29265,4271,24744
Alabama,elmore county,40790,10304,30089
Alabama,escambia county,15832,4894,10844
Alabama,etowah county,47358,11487,35343
Alabama,fayette county,8741,1390,7295
Alabama,franklin county,12554,2085,10364
Alabama,geneva county,12526,1592,10844
Alabama,greene county,4763,3880,875
Alabama,hale county,7914,4687,3190
Alabama,henry county,9251,2589,6593
Alabama,houston county,45647,12738,32384
Alabama,jackson county,23561,3709,19644
Alabama,jefferson county,322947,180936,138443
Alabama,lamar county,7179,978,6168
Alabama,lauderdale county,43983,11872,31578
Alabama,lawrence county,15936,3544,12266
Alabama,lee county,70631,27600,42019
Alabama,limestone county,48583,13510,34337
Alabama,lowndes county,6829,4968,1835
Alabama,macon county,8675,7084,1539
Alabama,madison county,192958,86885,102395
Alabama,marengo county,10872,5476,5337
Alabama,marion county,13762,1457,12190
Alabama,marshall county,39406,5880,33094
Alabama,mobile county,181279,78754,100605
Alabama,monroe county,10597,4418,6126
Alabama,montgomery county,98103,64065,33122
Alabama,morgan county,53363,13159,39504
Alabama,perry county,5208,3849,1336
Alabama,pickens county,9647,4017,5590
Alabama,pike county,13767,5613,8020
Alabama,randolph county,10810,2203,8548
Alabama,russell county,21069,11078,9796
Alabama,shelby county,113920,33036,79428
Alabama,st. clair county,44261,7698,36119
Alabama,sumter county,6274,4639,1598
Alabama,talladega county,35548,13092,22210
Alabama,tallapoosa county,20849,5815,14905
Alabama,tuscaloosa county,76758,28560,47367
Alabama,walker county,31049,4826,25947
Alabama,washington county,8852,2253,6554
Alabama,wilcox county,5879,4036,1826
Alabama,winston county,11260,974,10187
Arizona,apache county,34397,22730,11240
Arizona,cochise county,58794,23370,34309
Arizona,coconino county,73174,44609,27043
Arizona,gila county,27662,8943,18377
Arizona,graham county,14993,4034,10747
