FIPS,DeathAssault,DeathSuicide
1001,42,152
1003,120,545
1005,40,51
1007,34,65
1009,54,161
1011,22,13
1013,49,49
1015,217,325
1017,53,86
1019,22,92
1021,42,117
1023,27,25
1025,37,52
1027,11,34
1029,26,55
1031,26,114
1033,51,149
1035,28,41
1037,18,40
1039,34,83
1041,25,34
1043,38,215
1045,49,115
1047,164,68
1049,49,163
1051,86,179
1053,63,82
1055,137,282
1057,16,59
1059,21,81
1061,35,79
1063,26,20
1065,34,24
1067,24,44
1069,94,195
1071,45,169
1073,1990,1493
1075,Suppressed,37
1077,84,214
1079,36,103
1081,184,238
1083,66,175
1085,51,13
1087,92,31
1089,330,731
1091,32,26
1093,25,88
1095,53,242
1097,1040,963
1099,43,49
1101,642,416
1103,110,338
1105,24,13
1107,17,40
1109,46,82
1111,35,73
1113,123,134
1115,62,230
1117,110,409
1119,29,12
1121,135,194
1123,62,99
1125,265,364
1127,82,245
1129,27,41
1131,34,17
1133,26,64
2013,Suppressed,Suppressed
2016,Suppressed,15
2020,335,895
2050,39,132
2060,Suppressed,10
2068,Suppressed,Suppressed
2070,Suppressed,23
2090,92,286
2100,Suppressed,Suppressed
2105,Suppressed,Suppressed
2110,12,89
2122,32,231
2130,10,44
2150,Suppressed,34
2164,Suppressed,Suppressed
2170,82,298
2180,15,120
2185,11,55
2188,11,85
2195,Suppressed,Suppressed
2198,Suppressed,Suppressed
2201,Suppressed,17
2220,Suppressed,33
2230,Suppressed,Suppressed
2232,Suppressed,Suppressed
2240,Suppressed,24
2261,Suppressed,44
2270,26,126
2275,Suppressed,Suppressed
2280,Suppressed,11
2282,Suppressed,Suppressed
2290,26,67
4001,177,340
4003,114,478
4005,149,455
4007,84,232
4009,33,105
4011,Suppressed,23
4012,26,89
4013,4994,9667
4015,230,1037
4017,203,466
4019,1290,2940
4021,337,864
4023,30,71
4025,145,1102
4027,139,361
5001,33,57
5003,28,54
5005,18,192
5007,85,512
5009,35,121
5011,18,22
5013,Suppressed,17
5015,17,91
5017,36,20
5019,24,48
5021,Suppressed,41
5023,16,78
5025,Suppressed,32
5027,34,73
5029,25,62
5031,84,232
5033,45,170
5035,137,104
5037,23,51
5039,16,14
5041,41,26
5043,28,40
5045,75,242
5047,Suppressed,57
5049,13,51
5051,145,414
5053,10,48
5055,32,146
5057,30,36
5059,35,112
5061,14,34
5063,32,109
5065,Suppressed,48
5067,24,52
5069,268,149
5071,15,75
5073,18,26
5075,10,44
5077,38,24
5079,26,23
5081,10,47
5083,22,81
5085,53,163
5087,Suppressed,49
5089,Suppressed,72
5091,54,109
5093,128,112
5095,15,22
5097,Suppressed,38
5099,13,31
5101,10,31
5103,51,58
5105,Suppressed,49
5107,108,42
5109,Suppressed,28
5111,29,77
5113,13,72
5115,38,137
5117,10,20
5119,1020,955
5121,11,55
5123,67,52
5125,69,258
5127,13,39
5129,Suppressed,30
5131,115,321
5133,22,62
5135,Suppressed,71
5137,14,47
5139,87,119
5141,11,55
5143,92,445
5145,53,188
5147,10,26
5149,24,61
6001,2293,2327
6003,Suppressed,Suppressed
6005,21,163
6007,145,687
6009,29,178
6011,16,50
6013,1369,1857
6015,33,92
6017,72,513
6019,1175,1425
6021,14,76
6023,137,549
6025,90,205
6027,Suppressed,71
6029,1154,1575
6031,118,216
6033,79,282
6035,33,120
6037,14736,13564
6039,149,285
6041,75,650
6043,Suppressed,80
6045,88,333
6047,343,400
6049,10,36
6051,Suppressed,24
6053,646,659
6055,39,251
6057,40,328
6059,1316,4827
6061,95,736
6063,12,85
6065,1753,3678
6067,1579,3078
6069,37,69
6071,2535,3459
6073,1833,6307
6075,975,1663
6077,1032,1118
6079,98,734
6081,389,1103
6083,189,801
6085,822,2517
6087,159,639
6089,146,689
6091,Suppressed,14
6093,36,199
6095,539,800
6097,198,1077
6099,533,908
6101,79,211
6103,47,195
6105,20,73
6107,623,687
6109,24,210
6111,483,1528
6113,67,325
6115,62,197
8001,374,1226
8003,14,65
8005,414,1607
8007,Suppressed,55
8009,Suppressed,19
8011,Suppressed,17
8013,67,873
8014,18,137
8015,Suppressed,73
8017,Suppressed,Suppressed
8019,Suppressed,42
8021,Suppressed,34
8023,Suppressed,17
8025,Suppressed,13
8027,Suppressed,20
8029,16,125
8031,824,1696
8033,Suppressed,12
8035,60,600
8037,11,99
8039,Suppressed,75
8041,509,2083
8043,44,240
8045,25,179
8047,Suppressed,21
8049,Suppressed,54
8051,Suppressed,52
8053,Suppressed,Suppressed
8055,Suppressed,42
8057,Suppressed,Suppressed
8059,209,1738
8061,Suppressed,Suppressed
8063,Suppressed,23
8065,Suppressed,32
8067,28,165
8069,81,900
8071,22,65
8073,Suppressed,17
8075,15,63
8077,92,597
8079,Suppressed,Suppressed
8081,Suppressed,72
8083,35,138
8085,22,140
8087,17,71
8089,12,55
8091,Suppressed,13
8093,14,86
8095,Suppressed,10
8097,Suppressed,55
8099,Suppressed,38
8101,166,568
8103,Suppressed,33
8105,11,36
8107,10,87
8109,Suppressed,29
8111,Suppressed,Suppressed
8113,Suppressed,18
8115,Suppressed,19
8117,Suppressed,75
8119,Suppressed,117
8121,Suppressed,Suppressed
8123,107,622
8125,Suppressed,19
9001,520,1204
9003,669,1422
9005,41,389
9007,44,297
9009,594,1395
9011,115,524
9013,26,266
9015,33,250
10001,107,331
10003,652,1076
10005,87,438
11001,2661,641
12001,184,541
12003,26,60
12005,177,566
12007,28,72
12009,471,1871
12011,1579,4009
12013,13,37
12015,68,519
12017,101,547
12019,142,509
12021,185,705
12023,79,176
12027,33,96
12029,29,61
12031,1908,2250
12033,367,815
12035,41,245
12037,Suppressed,30
12039,78,94
12041,21,54
12043,16,41
12045,10,52
12047,22,29
12049,24,57
12051,77,70
12053,94,556
12055,89,335
12057,1199,2783
12059,15,65
12061,96,381
12063,67,117
12065,11,30
12067,Suppressed,19
12069,194,764
12071,654,1769
12073,204,501
12075,29,152
12077,Suppressed,12
12079,24,44
12081,336,935
12083,304,1041
12085,84,466
12086,3919,4080
12087,54,340
12089,67,229
12091,111,581
12093,42,128
12095,1486,2036
12097,195,502
12099,1455,3322
12101,327,1489
12103,830,3152
12105,542,1357
12107,102,253
12109,100,520
12111,272,709
12113,80,444
12115,231,1230
12117,285,931
12119,41,202
12121,36,122
12123,30,64
12125,16,48
12127,413,1757
12129,26,82
12131,31,184
12133,37,74
13001,20,39
13003,11,14
13005,17,24
13007,Suppressed,Suppressed
13009,61,99
13011,Suppressed,50
13013,54,179
13015,77,258
13017,35,25
13019,10,48
13021,381,307
13023,13,41
13025,16,37
13027,19,37
13029,28,71
13031,45,128
13033,44,53
13035,29,51
13037,16,Suppressed
13039,42,111
13043,20,25
13045,91,261
13047,32,135
13049,14,26
13051,635,548
13053,Suppressed,24
13055,20,61
13057,73,428
13059,102,225
13061,Suppressed,Suppressed
13063,552,364
13065,10,12
13067,525,1183
13069,57,83
13071,86,97
13073,50,251
13075,24,42
13077,76,251
13079,12,34
13081,51,45
13083,Suppressed,49
13085,Suppressed,75
13087,36,62
13089,1542,1020
13091,24,52
13093,Suppressed,25
13095,161,153
13097,111,245
13099,18,25
13101,Suppressed,Suppressed
13103,29,108
13105,21,60
13107,34,52
13109,Suppressed,25
13111,15,81
13113,53,181
13115,90,263
13117,43,299
13119,23,76
13121,2209,1608
13123,19,91
