State,County,Year,LabourForce,Employed,Unemployed
South Carolina,Abbeville,2016,10300,9734,566
Louisiana,Acadia Parish,2016,24508,22697,1811
Virginia,Accomack,2016,15783,15003,780
Idaho,Ada,2016,225548,218120,7428
Iowa,Adair,2016,4222,4097,125
Kentucky,Adair,2016,7085,6614,471
Missouri,Adair,2016,10388,9798,590
Oklahoma,Adair,2016,8160,7685,475
Colorado,Adams,2016,253398,244332,9066
Iowa,Adams,2016,2209,2152,57
Idaho,Adams,2016,1747,1626,121
Illinois,Adams,2016,32483,30936,1547
Indiana,Adams,2016,17037,16427,610
Mississippi,Adams,2016,11258,10331,927
North Dakota,Adams,2016,1132,1103,29
Nebraska,Adams,2016,16637,16116,521
Ohio,Adams,2016,10939,10112,827
Pennsylvania,Adams,2016,55378,53186,2192
Washington,Adams,2016,8700,8137,563
Wisconsin,Adams,2016,8296,7796,500
Vermont,Addison,2016,20855,20237,618
Puerto Rico,Adjuntas Municipio,2016,4470,3717,753
Puerto Rico,Aguada Municipio,2016,11907,10245,1662
Puerto Rico,Aguadilla Municipio,2016,14906,12689,2217
Puerto Rico,Aguas Buenas Municipio,2016,6787,5814,973
Puerto Rico,Aibonito Municipio,2016,6673,5680,993
South Carolina,Aiken,2016,74254,70528,3726
Minnesota,Aitkin,2016,7052,6558,494
Florida,Alachua,2016,132392,126746,5646
North Carolina,Alamance,2016,78943,75209,3734
California,Alameda,2016,831718,796037,35681
Colorado,Alamosa,2016,7962,7640,322
New York,Albany,2016,158435,152009,6426
Wyoming,Albany,2016,20960,20287,673
Virginia,Albemarle,2016,54381,52432,1949
Michigan,Alcona,2016,3827,3534,293
Mississippi,Alcorn,2016,15831,15012,819
Alaska,Aleutians East Borough,2016,2583,2514,69
Alaska,Aleutians West Census Area,2016,3974,3842,132
Illinois,Alexander,2016,2205,1999,206
North Carolina,Alexander,2016,17835,17078,757
Virginia,Alexandria city,2016,96248,93422,2826
Oklahoma,Alfalfa,2016,2969,2871,98
Michigan,Alger,2016,3263,2994,269
Iowa,Allamakee,2016,7648,7269,379
Michigan,Allegan,2016,61265,58880,2385
Maryland,Allegany,2016,32492,30460,2032
New York,Allegany,2016,20052,18786,1266
North Carolina,Alleghany,2016,4426,4183,243
Virginia,Alleghany,2016,6924,6568,356
Pennsylvania,Allegheny,2016,647300,613814,33486
Indiana,Allen,2016,180853,173132,7721
Kansas,Allen,2016,6432,6073,359
Kentucky,Allen,2016,8850,8466,384
Ohio,Allen,2016,48242,45808,2434
Louisiana,Allen Parish,2016,8899,8327,572
South Carolina,Allendale,2016,2666,2437,229
Michigan,Alpena,2016,13646,12834,812
California,Alpine,2016,553,518,35
California,Amador,2016,14522,13658,864
Virginia,Amelia,2016,6191,5925,266
Virginia,Amherst,2016,14972,14310,662
Mississippi,Amite,2016,4512,4182,330
Puerto Rico,Anasco Municipio,2016,8893,7749,1144
Alaska,Anchorage Borough/municipality,2016,155274,146720,8554
Kansas,Anderson,2016,4169,3991,178
Kentucky,Anderson,2016,11455,10991,464
South Carolina,Anderson,2016,89049,84947,4102
Tennessee,Anderson,2016,33547,31921,1626
Texas,Anderson,2016,23500,22484,1016
Missouri,Andrew,2016,10048,9674,374
Texas,Andrews,2016,8686,8277,409
Maine,Androscoggin,2016,55245,53266,1979
Texas,Angelina,2016,37048,34864,2184
Maryland,Anne Arundel,2016,304143,292511,11632
Minnesota,Anoka,2016,192557,185393,7164
North Carolina,Anson,2016,10660,10043,617
Nebraska,Antelope,2016,3589,3495,94
Michigan,Antrim,2016,10065,9354,711
Arizona,Apache,2016,20284,17966,2318
Iowa,Appanoose,2016,6142,5851,291
Georgia,Appling,2016,9174,8589,585
Virginia,Appomattox,2016,6988,6658,330
Texas,Aransas,2016,10234,9663,571
Colorado,Arapahoe,2016,340304,329761,10543
Texas,Archer,2016,4087,3911,176
Colorado,Archuleta,2016,6360,6151,209
Puerto Rico,Arecibo Municipio,2016,23997,20832,3165
Michigan,Arenac,2016,6119,5612,507
Arkansas,Arkansas,2016,9255,8940,315
Virginia,Arlington,2016,146178,142317,3861
Pennsylvania,Armstrong,2016,33078,30603,2475
Texas,Armstrong,2016,934,908,26
Maine,Aroostook,2016,31419,29714,1705
Puerto Rico,Arroyo Municipio,2016,5140,4187,953
Nebraska,Arthur,2016,227,214,13
Louisiana,Ascension Parish,2016,61982,58949,3033
North Carolina,Ashe,2016,12508,11909,599
Ohio,Ashland,2016,26250,24910,1340
Wisconsin,Ashland,2016,7967,7535,432
Arkansas,Ashley,2016,7940,7454,486
Ohio,Ashtabula,2016,44206,41494,2712
Washington,Asotin,2016,9944,9448,496
Louisiana,Assumption Parish,2016,9206,8433,773
Texas,Atascosa,2016,21012,19892,1120
Kansas,Atchison,2016,7038,6600,438
Missouri,Atchison,2016,2846,2716,130
Ohio,Athens,2016,28008,26205,1803
Georgia,Atkinson,2016,3971,3763,208
New Jersey,Atlantic,2016,122411,113320,9091
Oklahoma,Atoka,2016,5065,4733,332
Mississippi,Attala,2016,7018,6550,468
Missouri,Audrain,2016,11151,10677,474
Iowa,Audubon,2016,3267,3159,108
Ohio,Auglaize,2016,24610,23687,923
Virginia,Augusta,2016,36795,35436,1359
South Dakota,Aurora,2016,1521,1487,34
Texas,Austin,2016,14024,13278,746
Alabama,Autauga,2016,26031,24709,1322
North Carolina,Avery,2016,7576,7195,381
Louisiana,Avoyelles Parish,2016,15682,14574,1108
Colorado,Baca,2016,2091,2055,36
Georgia,Bacon,2016,4973,4713,260
Texas,Bailey,2016,2717,2598,119
Florida,Baker,2016,11397,10844,553
Georgia,Baker,2016,1180,1089,91
Oregon,Baker,2016,6951,6513,438
Alabama,Baldwin,2016,90895,86060,4835
Georgia,Baldwin,2016,17606,16401,1205
